//0
//Oxygen, 1.045
//Nitrate, 1, 1, 0,0,
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		920.00	0	3.8590	0	34.4580	0	27.370	0	186.43	0	57.20	0		8	0.02	0	0.000147	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		918.00	0	3.8630	0	34.4580	0	27.369	0	186.53	0	57.24	0		8	0.02	0	0.000138	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		916.00	0	3.8710	0	34.4560	0	27.367	0	186.74	0	57.31	0		8	0.02	0	0.000141	0	2.14	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		914.00	0	3.8750	0	34.4560	0	27.366	0	186.95	0	57.38	0		8	0.02	0	0.000142	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		912.00	0	3.8760	0	34.4550	0	27.365	0	187.06	0	57.42	0		8	0.02	0	0.000138	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		910.00	0	3.8740	0	34.4540	0	27.365	0	187.26	0	57.48	0		8	0.02	0	0.000140	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		908.00	0	3.8660	0	34.4520	0	27.364	0	187.47	0	57.53	0		8	0.02	0	0.000148	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		906.00	0	3.8590	0	34.4500	0	27.363	0	187.79	0	57.62	0		8	0.02	0	0.000142	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		904.00	0	3.8570	0	34.4490	0	27.363	0	188.10	0	57.71	0		8	0.02	0	0.000141	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		902.00	0	3.8590	0	34.4490	0	27.362	0	188.31	0	57.78	0		8	0.02	0	0.000144	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		900.00	0	3.8630	0	34.4480	0	27.361	0	188.41	0	57.81	0	34.00	0	0.02	0	0.000139	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		898.00	0	3.8730	0	34.4480	0	27.360	0	188.52	0	57.86	0		8	0.02	0	0.000140	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		896.00	0	3.8820	0	34.4480	0	27.359	0	188.52	0	57.87	0		8	0.02	0	0.000143	0	2.14	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		894.00	0	3.8870	0	34.4480	0	27.359	0	188.52	0	57.88	0		8	0.02	0	0.000138	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		892.00	0	3.8980	0	34.4480	0	27.358	0	188.52	0	57.89	0		8	0.02	0	0.000142	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		890.00	0	3.9180	0	34.4460	0	27.354	0	188.52	0	57.92	0		8	0.02	0	0.000144	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		888.00	0	3.9500	0	34.4480	0	27.352	0	188.41	0	57.94	0		8	0.02	0	0.000141	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		886.00	0	3.9640	0	34.4480	0	27.351	0	188.41	0	57.96	0		8	0.01	0	0.000141	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		884.00	0	3.9870	0	34.4480	0	27.348	0	188.20	0	57.92	0		8	0.02	0	0.000143	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		882.00	0	4.0120	0	34.4480	0	27.346	0	188.10	0	57.93	0		8	0.02	0	0.000142	0	2.17	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		880.00	0	4.0250	0	34.4490	0	27.345	0	188.10	0	57.95	0		8	0.02	0	0.000140	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		878.00	0	4.0350	0	34.4480	0	27.344	0	188.00	0	57.93	0		8	0.03	0	0.000139	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		876.00	0	4.0420	0	34.4480	0	27.343	0	188.00	0	57.94	0		8	0.02	0	0.000142	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		874.00	0	4.0390	0	34.4480	0	27.343	0	188.20	0	58.00	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		872.00	0	4.0310	0	34.4470	0	27.343	0	188.41	0	58.05	0		8	0.02	0	0.000144	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		870.00	0	4.0240	0	34.4460	0	27.343	0	188.52	0	58.07	0		8	0.02	0	0.000140	0	2.05	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		868.00	0	4.0530	0	34.4480	0	27.342	0	188.52	0	58.11	0		8	0.02	0	0.000141	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		866.00	0	4.0570	0	34.4480	0	27.341	0	188.52	0	58.12	0		8	0.02	0	0.000140	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		864.00	0	4.0600	0	34.4470	0	27.340	0	188.52	0	58.12	0		8	0.02	0	0.000143	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		862.00	0	4.0650	0	34.4450	0	27.338	0	188.62	0	58.16	0		8	0.02	0	0.000143	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		860.00	0	4.0710	0	34.4450	0	27.337	0	188.73	0	58.20	0		8	0.02	0	0.000148	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		858.00	0	4.0730	0	34.4450	0	27.337	0	188.83	0	58.24	0		8	0.01	0	0.000142	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		856.00	0	4.0750	0	34.4450	0	27.337	0	188.94	0	58.27	0		8	0.02	0	0.000147	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		854.00	0	4.0810	0	34.4450	0	27.336	0	188.94	0	58.28	0		8	0.02	0	0.000162	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		851.90	0	4.0850	0	34.4450	0	27.336	0	188.94	0	58.29	0	33.70	0	0.02	0	0.000140	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		850.00	0	4.0860	0	34.4450	0	27.336	0	188.94	0	58.29	0		8	0.02	0	0.000139	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		848.00	0	4.0930	0	34.4450	0	27.335	0	189.04	0	58.33	0		8	0.02	0	0.000139	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		846.00	0	4.0980	0	34.4440	0	27.334	0	189.04	0	58.34	0		8	0.02	0	0.000142	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		844.00	0	4.1050	0	34.4450	0	27.334	0	189.15	0	58.38	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		842.00	0	4.1130	0	34.4440	0	27.332	0	189.04	0	58.36	0		8	0.02	0	0.000141	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		840.00	0	4.1240	0	34.4420	0	27.329	0	189.25	0	58.44	0		8	0.02	0	0.000142	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		838.00	0	4.1370	0	34.4410	0	27.327	0	189.46	0	58.52	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		836.00	0	4.1580	0	34.4400	0	27.324	0	189.67	0	58.61	0		8	0.03	0	0.000143	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		834.00	0	4.1700	0	34.4400	0	27.323	0	189.88	0	58.70	0		8	0.02	0	0.000150	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		832.00	0	4.1760	0	34.4400	0	27.322	0	189.98	0	58.74	0		8	0.02	0	0.000143	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		830.00	0	4.1820	0	34.4400	0	27.322	0	190.09	0	58.78	0		8	0.02	0	0.000207	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		828.00	0	4.1870	0	34.4400	0	27.321	0	190.19	0	58.82	0		8	0.02	0	0.000145	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		826.00	0	4.1910	0	34.4390	0	27.320	0	190.29	0	58.86	0		8	0.02	0	0.000143	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		824.00	0	4.1920	0	34.4390	0	27.320	0	190.29	0	58.86	0		8	0.02	0	0.000144	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		822.00	0	4.1950	0	34.4390	0	27.320	0	190.40	0	58.89	0		8	0.02	0	0.000140	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		820.00	0	4.1990	0	34.4380	0	27.318	0	190.50	0	58.93	0		8	0.02	0	0.000143	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		818.00	0	4.1970	0	34.4340	0	27.315	0	190.82	0	59.02	0		8	0.02	0	0.000141	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		816.00	0	4.2000	0	34.4320	0	27.313	0	191.34	0	59.19	0		8	0.02	0	0.000140	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		814.00	0	4.2030	0	34.4330	0	27.314	0	191.65	0	59.29	0		8	0.02	0	0.000138	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		812.00	0	4.2140	0	34.4320	0	27.312	0	191.86	0	59.37	0		8	0.02	0	0.000145	0	2.05	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		810.00	0	4.2200	0	34.4320	0	27.311	0	191.97	0	59.41	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		808.00	0	4.2230	0	34.4320	0	27.311	0	192.07	0	59.45	0		8	0.02	0	0.000149	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		806.00	0	4.2250	0	34.4310	0	27.310	0	192.18	0	59.48	0		8	0.02	0	0.000139	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		804.00	0	4.2280	0	34.4300	0	27.309	0	192.38	0	59.55	0		8	0.02	0	0.000152	0	2.05	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		802.00	0	4.2300	0	34.4300	0	27.309	0	192.59	0	59.62	0	33.60	0	0.02	0	0.000141	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		800.00	0	4.2340	0	34.4280	0	27.307	0	192.80	0	59.69	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		798.00	0	4.2380	0	34.4270	0	27.305	0	193.01	0	59.76	0		8	0.01	0	0.000143	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		796.00	0	4.2420	0	34.4270	0	27.305	0	193.22	0	59.83	0		8	0.02	0	0.000140	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		794.00	0	4.2480	0	34.4260	0	27.304	0	193.43	0	59.90	0		8	0.02	0	0.000142	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		792.00	0	4.2510	0	34.4250	0	27.303	0	193.74	0	60.00	0		8	0.02	0	0.000143	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		790.00	0	4.2600	0	34.4230	0	27.300	0	193.95	0	60.08	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		788.00	0	4.2680	0	34.4220	0	27.298	0	194.27	0	60.19	0		8	0.02	0	0.000145	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		786.00	0	4.2730	0	34.4210	0	27.297	0	194.47	0	60.26	0		8	0.02	0	0.000143	0	2.04	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		784.00	0	4.2830	0	34.4200	0	27.295	0	194.89	0	60.40	0		8	0.02	0	0.000145	0	2.05	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		782.00	0	4.2900	0	34.4190	0	27.294	0	195.21	0	60.51	0		8	0.01	0	0.000142	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		780.10	0	4.2920	0	34.4190	0	27.293	0	195.42	0	60.58	0		8	0.02	0	0.000146	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		778.00	0	4.2950	0	34.4180	0	27.292	0	195.62	0	60.65	0		8	0.02	0	0.000142	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		776.00	0	4.3060	0	34.4180	0	27.291	0	195.62	0	60.66	0		8	0.02	0	0.000142	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		774.00	0	4.3190	0	34.4170	0	27.289	0	195.94	0	60.78	0		8	0.02	0	0.000143	0	2.05	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		772.00	0	4.3240	0	34.4160	0	27.288	0	196.04	0	60.82	0		8	0.01	0	0.000144	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		770.00	0	4.3280	0	34.4160	0	27.287	0	196.25	0	60.89	0		8	0.02	0	0.000145	0	2.04	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		768.00	0	4.3380	0	34.4150	0	27.285	0	196.36	0	60.94	0		8	0.02	0	0.000142	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		766.00	0	4.3470	0	34.4150	0	27.284	0	196.56	0	61.02	0		8	0.02	0	0.000144	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		764.00	0	4.3580	0	34.4140	0	27.282	0	196.77	0	61.10	0		8	0.02	0	0.000142	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		762.00	0	4.3700	0	34.4140	0	27.281	0	196.98	0	61.18	0		8	0.02	0	0.000141	0	1.99	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		760.00	0	4.3770	0	34.4130	0	27.279	0	197.09	0	61.22	0		8	0.02	0	0.000143	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		758.00	0	4.3910	0	34.4120	0	27.277	0	197.30	0	61.31	0		8	0.02	0	0.000142	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		756.00	0	4.4080	0	34.4120	0	27.275	0	197.51	0	61.40	0		8	0.02	0	0.000143	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		754.00	0	4.4170	0	34.4120	0	27.274	0	197.61	0	61.44	0		8	0.02	0	0.000144	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		752.00	0	4.4430	0	34.4130	0	27.272	0	197.71	0	61.51	0	32.80	0	0.02	0	0.000143	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		750.00	0	4.4600	0	34.4130	0	27.270	0	197.71	0	61.54	0		8	0.01	0	0.000148	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		748.00	0	4.4740	0	34.4140	0	27.270	0	197.71	0	61.56	0		8	0.02	0	0.000142	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		746.00	0	4.4960	0	34.4140	0	27.267	0	197.71	0	61.59	0		8	0.02	0	0.000147	0	2.04	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		744.00	0	4.5120	0	34.4160	0	27.267	0	197.61	0	61.59	0		8	0.02	0	0.000145	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		742.00	0	4.5490	0	34.4190	0	27.266	0	197.19	0	61.51	0		8	0.01	0	0.000142	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		740.00	0	4.5710	0	34.4190	0	27.263	0	196.88	0	61.45	0		8	0.02	0	0.000145	0	1.99	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		738.00	0	4.6000	0	34.4190	0	27.260	0	196.88	0	61.49	0		8	0.01	0	0.000142	0	2.04	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		736.00	0	4.6220	0	34.4190	0	27.257	0	196.98	0	61.56	0		8	0.02	0	0.000145	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		734.00	0	4.6280	0	34.4200	0	27.258	0	197.09	0	61.60	0		8	0.02	0	0.000143	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		732.00	0	4.6350	0	34.4190	0	27.256	0	197.30	0	61.67	0		8	0.02	0	0.000146	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		730.00	0	4.6310	0	34.4160	0	27.254	0	197.71	0	61.80	0		8	0.02	0	0.000145	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		728.00	0	4.6460	0	34.4170	0	27.253	0	198.03	0	61.92	0		8	0.02	0	0.000143	0	2.03	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		726.00	0	4.6550	0	34.4170	0	27.252	0	198.24	0	62.00	0		8	0.02	0	0.000143	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		724.00	0	4.6710	0	34.4170	0	27.250	0	198.34	0	62.05	0		8	0.02	0	0.000146	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		722.00	0	4.6960	0	34.4160	0	27.247	0	198.34	0	62.09	0		8	0.02	0	0.000152	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		720.00	0	4.7190	0	34.4160	0	27.244	0	198.65	0	62.22	0		8	0.02	0	0.000152	0	1.99	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		718.00	0	4.7460	0	34.4160	0	27.241	0	198.86	0	62.33	0		8	0.01	0	0.000147	0	1.99	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		716.00	0	4.7720	0	34.4170	0	27.239	0	198.97	0	62.40	0		8	0.02	0	0.000146	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		714.00	0	4.7810	0	34.4190	0	27.240	0	198.86	0	62.38	0		8	0.02	0	0.000162	0	2.01	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		712.00	0	4.7840	0	34.4190	0	27.239	0	198.86	0	62.39	0		8	0.02	0	0.000143	0	1.99	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		710.00	0	4.7860	0	34.4190	0	27.239	0	198.86	0	62.39	0		8	0.02	0	0.000147	0	1.99	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		708.00	0	4.7950	0	34.4190	0	27.238	0	198.86	0	62.40	0		8	0.01	0	0.000145	0	2.02	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		706.00	0	4.8000	0	34.4180	0	27.237	0	198.97	0	62.44	0		8	0.01	0	0.000147	0	1.98	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		704.00	0	4.8040	0	34.4170	0	27.236	0	199.18	0	62.51	0		8	0.02	0	0.000149	0	1.97	0
